,0
Number of Individuals,834.0
Average Age,61.390243902439025
STD Age,5.1586104396603005
Average Pkyrs,58.505487804878044
STD Pkyrs,23.67769045045886
Average Nodule Size,8.98857142857143
STD Nodule Size,4.185344671161547
Male Count,54.0
Female Count,28.0
Count Xslice,292.0
Count Yslice,288.0
Count Zslice,254.0
Non-calcified Nodule or mass (opacity >= 4mm diameter),177.0
Other minor abnormalities,116.0
"Reticular or reticulonodular opacities, honeycombing, fibrosis",77.0
Emphysema,64.0
Benign Lung Nodule(s),55.0
Non-calcified micronodule(s) (opacity < 4mm diameter),28.0
Significant Cardiovascular abnormality,27.0
Pleural thickening or effusion,22.0
 other potentially significant abnormalities below diaphram,12.0
other potentially significant abnormality above diaphram,12.0
Non-calcified hilar/mediastinal adenopathy or mass (>= 10mm short axis),9.0
"6 or more nodules, not suspicious for cancer",4.0
"Chest Wall Abnormality (bone destruction, metastisis)",2.0
"Atelectasis, segmental or greater",2.0
Soft Tissue,125.0
Ground Glass,27.0
Mixed,13.0
Unable to Determine Count,8.0
Other Tissue Count,3.0
Fat Count,1.0
