,0
Number of Individuals,568.0
Average Age,63.08
STD Age,5.170028568808769
Average Pkyrs,66.94428571428571
STD Pkyrs,25.640549589492647
Average Nodule Size,9.197826086956521
STD Nodule Size,4.211975309109343
Male Count,97.0
Female Count,78.0
Count Xslice,164.0
Count Yslice,190.0
Count Zslice,214.0
Non-calcified Nodule or mass (opacity >= 4mm diameter),462.0
Emphysema,158.0
Other minor abnormalities,97.0
"Reticular or reticulonodular opacities, honeycombing, fibrosis",85.0
Non-calcified micronodule(s) (opacity < 4mm diameter),82.0
Benign Lung Nodule(s),78.0
other potentially significant abnormality above diaphram,28.0
Non-calcified hilar/mediastinal adenopathy or mass (>= 10mm short axis),24.0
Significant Cardiovascular abnormality,16.0
 other potentially significant abnormalities below diaphram,15.0
Pleural thickening or effusion,11.0
"6 or more nodules, not suspicious for cancer",3.0
Consolidation,2.0
"Atelectasis, segmental or greater",2.0
"Chest Wall Abnormality (bone destruction, metastisis)",1.0
Soft Tissue,336.0
Ground Glass,70.0
Mixed,43.0
Unable to Determine Count,10.0
Other Tissue Count,3.0
