,0
Number of Individuals,346.0
Average Age,63.11009174311926
STD Age,5.054040278792148
Average Pkyrs,65.24495412844037
STD Pkyrs,23.69925470088682
Average Nodule Size,8.6875
STD Nodule Size,3.906729986184479
Male Count,61.0
Female Count,48.0
Count Xslice,114.0
Count Yslice,124.0
Count Zslice,108.0
Non-calcified Nodule or mass (opacity >= 4mm diameter),323.0
Emphysema,93.0
Other minor abnormalities,62.0
Non-calcified micronodule(s) (opacity < 4mm diameter),60.0
"Reticular or reticulonodular opacities, honeycombing, fibrosis",53.0
Benign Lung Nodule(s),52.0
other potentially significant abnormality above diaphram,22.0
Significant Cardiovascular abnormality,17.0
Non-calcified hilar/mediastinal adenopathy or mass (>= 10mm short axis),14.0
 other potentially significant abnormalities below diaphram,11.0
Pleural thickening or effusion,9.0
"6 or more nodules, not suspicious for cancer",4.0
"Atelectasis, segmental or greater",3.0
Soft Tissue,210.0
Ground Glass,83.0
Mixed,23.0
Unable to Determine Count,6.0
Other Tissue Count,1.0
