,0
Number of Individuals,1074.0
Average Age,63.254901960784316
STD Age,5.314677112046517
Average Pkyrs,64.68235294117648
STD Pkyrs,24.810018739915176
Average Nodule Size,9.644412191582003
STD Nodule Size,4.385474336423888
Male Count,143.0
Female Count,112.0
Count Xslice,354.0
Count Yslice,354.0
Count Zslice,366.0
Non-calcified Nodule or mass (opacity >= 4mm diameter),693.0
Emphysema,210.0
Other minor abnormalities,134.0
Non-calcified micronodule(s) (opacity < 4mm diameter),120.0
"Reticular or reticulonodular opacities, honeycombing, fibrosis",112.0
Benign Lung Nodule(s),105.0
Significant Cardiovascular abnormality,35.0
Non-calcified hilar/mediastinal adenopathy or mass (>= 10mm short axis),30.0
other potentially significant abnormality above diaphram,29.0
 other potentially significant abnormalities below diaphram,20.0
Pleural thickening or effusion,16.0
"6 or more nodules, not suspicious for cancer",8.0
"Atelectasis, segmental or greater",7.0
Consolidation,4.0
"Chest Wall Abnormality (bone destruction, metastisis)",1.0
Soft Tissue,505.0
Ground Glass,103.0
Mixed,62.0
Unable to Determine Count,20.0
Other Tissue Count,3.0
