,0
Number of Individuals,388.0
Average Age,61.70422535211268
STD Age,4.995410368377251
Average Pkyrs,59.901408450704224
STD Pkyrs,26.417069659909274
Average Nodule Size,10.566666666666666
STD Nodule Size,4.153783213988703
Male Count,46.0
Female Count,25.0
Count Xslice,122.0
Count Yslice,136.0
Count Zslice,130.0
Non-calcified Nodule or mass (opacity >= 4mm diameter),150.0
Other minor abnormalities,86.0
Emphysema,84.0
"Reticular or reticulonodular opacities, honeycombing, fibrosis",67.0
Benign Lung Nodule(s),42.0
Pleural thickening or effusion,29.0
Significant Cardiovascular abnormality,22.0
Non-calcified micronodule(s) (opacity < 4mm diameter),14.0
other potentially significant abnormality above diaphram,11.0
 other potentially significant abnormalities below diaphram,6.0
"Atelectasis, segmental or greater",4.0
"6 or more nodules, not suspicious for cancer",1.0
Consolidation,1.0
Non-calcified hilar/mediastinal adenopathy or mass (>= 10mm short axis),1.0
Soft Tissue,111.0
Ground Glass,18.0
Mixed,8.0
Unable to Determine Count,7.0
Other Tissue Count,5.0
Fat Count,1.0
