,0
Number of Individuals,328.0
Average Age,61.74545454545454
STD Age,5.132388736389142
Average Pkyrs,60.445454545454545
STD Pkyrs,28.57829931817483
Average Nodule Size,10.552238805970148
STD Nodule Size,4.5115843609869835
Male Count,39.0
Female Count,16.0
Count Xslice,98.0
Count Yslice,108.0
Count Zslice,122.0
Non-calcified Nodule or mass (opacity >= 4mm diameter),135.0
Emphysema,70.0
Other minor abnormalities,64.0
"Reticular or reticulonodular opacities, honeycombing, fibrosis",55.0
Benign Lung Nodule(s),40.0
Non-calcified micronodule(s) (opacity < 4mm diameter),15.0
Significant Cardiovascular abnormality,12.0
Pleural thickening or effusion,12.0
other potentially significant abnormality above diaphram,9.0
"Atelectasis, segmental or greater",7.0
 other potentially significant abnormalities below diaphram,5.0
Non-calcified hilar/mediastinal adenopathy or mass (>= 10mm short axis),3.0
"Chest Wall Abnormality (bone destruction, metastisis)",2.0
"6 or more nodules, not suspicious for cancer",1.0
Consolidation,1.0
Soft Tissue,107.0
Ground Glass,14.0
Mixed,9.0
Unable to Determine Count,4.0
Other Tissue Count,1.0
