,0
Number of Individuals,1202.0
Average Age,62.009433962264154
STD Age,4.858953998780411
Average Pkyrs,59.50471698113208
STD Pkyrs,23.607025314614543
Average Nodule Size,8.717131474103585
STD Nodule Size,4.197578508931717
Male Count,62.0
Female Count,44.0
Count Xslice,440.0
Count Yslice,416.0
Count Zslice,346.0
Non-calcified Nodule or mass (opacity >= 4mm diameter),252.0
Other minor abnormalities,132.0
Emphysema,112.0
"Reticular or reticulonodular opacities, honeycombing, fibrosis",86.0
Benign Lung Nodule(s),65.0
Non-calcified micronodule(s) (opacity < 4mm diameter),40.0
Significant Cardiovascular abnormality,32.0
Pleural thickening or effusion,27.0
other potentially significant abnormality above diaphram,18.0
Non-calcified hilar/mediastinal adenopathy or mass (>= 10mm short axis),15.0
 other potentially significant abnormalities below diaphram,13.0
"6 or more nodules, not suspicious for cancer",4.0
Consolidation,2.0
"Atelectasis, segmental or greater",2.0
Soft Tissue,181.0
Ground Glass,47.0
Unable to Determine Count,11.0
Mixed,8.0
Other Tissue Count,4.0
Fat Count,1.0
