,0
Number of Individuals,706.0
Average Age,62.9144385026738
STD Age,5.236673314049623
Average Pkyrs,63.35802139037433
STD Pkyrs,25.41444301585206
Average Nodule Size,9.492619926199263
STD Nodule Size,4.377194824097391
Male Count,99.0
Female Count,88.0
Count Xslice,236.0
Count Yslice,218.0
Count Zslice,252.0
Non-calcified Nodule or mass (opacity >= 4mm diameter),546.0
Emphysema,158.0
Other minor abnormalities,106.0
Non-calcified micronodule(s) (opacity < 4mm diameter),90.0
"Reticular or reticulonodular opacities, honeycombing, fibrosis",80.0
Benign Lung Nodule(s),73.0
other potentially significant abnormality above diaphram,24.0
 other potentially significant abnormalities below diaphram,21.0
Non-calcified hilar/mediastinal adenopathy or mass (>= 10mm short axis),21.0
Significant Cardiovascular abnormality,20.0
Pleural thickening or effusion,13.0
"Atelectasis, segmental or greater",6.0
"6 or more nodules, not suspicious for cancer",4.0
Consolidation,2.0
"Chest Wall Abnormality (bone destruction, metastisis)",1.0
Soft Tissue,376.0
Ground Glass,100.0
Mixed,51.0
Unable to Determine Count,17.0
Other Tissue Count,2.0
