,0
Number of Individuals,772.0
Average Age,61.125
STD Age,5.103686809319225
Average Pkyrs,62.27734375
STD Pkyrs,27.75352534404985
Average Nodule Size,9.565217391304348
STD Nodule Size,4.657552569515188
Male Count,39.0
Female Count,25.0
Count Xslice,280.0
Count Yslice,252.0
Count Zslice,240.0
Non-calcified Nodule or mass (opacity >= 4mm diameter),139.0
Other minor abnormalities,67.0
Emphysema,56.0
Benign Lung Nodule(s),53.0
"Reticular or reticulonodular opacities, honeycombing, fibrosis",40.0
Significant Cardiovascular abnormality,18.0
Non-calcified micronodule(s) (opacity < 4mm diameter),16.0
Pleural thickening or effusion,12.0
 other potentially significant abnormalities below diaphram,11.0
other potentially significant abnormality above diaphram,7.0
Non-calcified hilar/mediastinal adenopathy or mass (>= 10mm short axis),6.0
"6 or more nodules, not suspicious for cancer",1.0
Soft Tissue,97.0
Ground Glass,26.0
Mixed,6.0
Other Tissue Count,4.0
Unable to Determine Count,4.0
Fat Count,2.0
