,0
Number of Individuals,648.0
Average Age,63.17801047120419
STD Age,5.222394915412024
Average Pkyrs,64.47068062827225
STD Pkyrs,24.962666420025425
Average Nodule Size,9.13076923076923
STD Nodule Size,4.229702224747517
Male Count,108.0
Female Count,83.0
Count Xslice,220.0
Count Yslice,216.0
Count Zslice,212.0
Non-calcified Nodule or mass (opacity >= 4mm diameter),524.0
Emphysema,178.0
Other minor abnormalities,100.0
Non-calcified micronodule(s) (opacity < 4mm diameter),98.0
Benign Lung Nodule(s),80.0
"Reticular or reticulonodular opacities, honeycombing, fibrosis",77.0
other potentially significant abnormality above diaphram,28.0
Non-calcified hilar/mediastinal adenopathy or mass (>= 10mm short axis),24.0
Significant Cardiovascular abnormality,20.0
 other potentially significant abnormalities below diaphram,17.0
Pleural thickening or effusion,15.0
"Atelectasis, segmental or greater",5.0
"6 or more nodules, not suspicious for cancer",4.0
Consolidation,2.0
Soft Tissue,378.0
Ground Glass,81.0
Mixed,49.0
Unable to Determine Count,13.0
Other Tissue Count,3.0
