,0
Number of Individuals,822.0
Average Age,63.10480349344978
STD Age,5.229590536182358
Average Pkyrs,65.25786026200873
STD Pkyrs,24.592395224084633
Average Nodule Size,9.282511210762332
STD Nodule Size,4.2861015781561145
Male Count,130.0
Female Count,99.0
Count Xslice,260.0
Count Yslice,280.0
Count Zslice,282.0
Non-calcified Nodule or mass (opacity >= 4mm diameter),673.0
Emphysema,194.0
Other minor abnormalities,128.0
Non-calcified micronodule(s) (opacity < 4mm diameter),118.0
"Reticular or reticulonodular opacities, honeycombing, fibrosis",97.0
Benign Lung Nodule(s),97.0
Significant Cardiovascular abnormality,33.0
other potentially significant abnormality above diaphram,32.0
Non-calcified hilar/mediastinal adenopathy or mass (>= 10mm short axis),28.0
 other potentially significant abnormalities below diaphram,20.0
Pleural thickening or effusion,16.0
"6 or more nodules, not suspicious for cancer",7.0
"Atelectasis, segmental or greater",5.0
Consolidation,3.0
"Chest Wall Abnormality (bone destruction, metastisis)",1.0
Soft Tissue,467.0
Ground Glass,131.0
Mixed,55.0
Unable to Determine Count,16.0
Other Tissue Count,4.0
