,0
Number of Individuals,616.0
Average Age,63.17989417989418
STD Age,5.222640767321377
Average Pkyrs,63.74894179894179
STD Pkyrs,24.09434523448416
Average Nodule Size,9.426530612244898
STD Nodule Size,4.338879988461964
Male Count,107.0
Female Count,82.0
Count Xslice,194.0
Count Yslice,210.0
Count Zslice,212.0
Non-calcified Nodule or mass (opacity >= 4mm diameter),494.0
Emphysema,167.0
Other minor abnormalities,110.0
Non-calcified micronodule(s) (opacity < 4mm diameter),93.0
"Reticular or reticulonodular opacities, honeycombing, fibrosis",79.0
Benign Lung Nodule(s),76.0
other potentially significant abnormality above diaphram,28.0
Significant Cardiovascular abnormality,26.0
Non-calcified hilar/mediastinal adenopathy or mass (>= 10mm short axis),24.0
 other potentially significant abnormalities below diaphram,18.0
Pleural thickening or effusion,12.0
"Atelectasis, segmental or greater",6.0
"6 or more nodules, not suspicious for cancer",4.0
Consolidation,3.0
"Chest Wall Abnormality (bone destruction, metastisis)",1.0
Soft Tissue,355.0
Ground Glass,77.0
Mixed,43.0
Unable to Determine Count,15.0
Other Tissue Count,4.0
