,0
Number of Individuals,1008.0
Average Age,61.22115384615385
STD Age,5.0530327926193035
Average Pkyrs,60.49759615384615
STD Pkyrs,25.849064676518932
Average Nodule Size,9.744493392070485
STD Nodule Size,4.638803542311281
Male Count,65.0
Female Count,39.0
Count Xslice,336.0
Count Yslice,342.0
Count Zslice,330.0
Non-calcified Nodule or mass (opacity >= 4mm diameter),227.0
Other minor abnormalities,114.0
Emphysema,104.0
"Reticular or reticulonodular opacities, honeycombing, fibrosis",78.0
Benign Lung Nodule(s),77.0
Non-calcified micronodule(s) (opacity < 4mm diameter),31.0
Pleural thickening or effusion,21.0
Significant Cardiovascular abnormality,20.0
 other potentially significant abnormalities below diaphram,19.0
other potentially significant abnormality above diaphram,12.0
Non-calcified hilar/mediastinal adenopathy or mass (>= 10mm short axis),9.0
"6 or more nodules, not suspicious for cancer",3.0
"Atelectasis, segmental or greater",3.0
Consolidation,2.0
"Chest Wall Abnormality (bone destruction, metastisis)",2.0
Soft Tissue,155.0
Ground Glass,40.0
Unable to Determine Count,17.0
Mixed,12.0
Fat Count,2.0
Other Tissue Count,1.0
