,0
Individuals,62.0
xnorm_mean,-10.983354403225805
xnorm_std,35.81372995612618
ynorm_mean,9.107400990322581
ynorm_std,25.860686123423648
znorm_mean,-3.199038629032258
znorm_std,31.144186591577636
laa950perc10b_mean,7.817994426612903
laa950perc10b_std,9.192994723795895
meanintensity0i_mean,-246.60888699999998
meanintensity0i_std,152.62662830918558
compactness10i_mean,6.092141275645162
compactness10i_std,3.357345833468541
sphericity0i_mean,0.4397151001612904
sphericity0i_std,0.08198190955089427
graylevels0i_mean,499.66129032258067
graylevels0i_std,198.19761156758338
energy0i_mean,166207664.69354838
energy0i_std,143849479.2671529
entropy0i_mean,6504.473011532258
entropy0i_std,11208.25021802551
skewness0i_mean,-0.15736289967741934
skewness0i_std,0.7100456620772527
kurtosis0i_mean,-0.36364044096774195
kurtosis0i_std,1.0905498358895171
maximum3ddiameter0i_mean,23.975918882258064
maximum3ddiameter0i_std,11.227538611590035
