,0
Number of Individuals,1106.0
Average Age,62.968503937007874
STD Age,5.298127057944045
Average Pkyrs,63.655118110236224
STD Pkyrs,24.245711763501628
Average Nodule Size,9.607898448519041
STD Nodule Size,4.362946797525076
Male Count,137.0
Female Count,117.0
Count Xslice,356.0
Count Yslice,376.0
Count Zslice,374.0
Non-calcified Nodule or mass (opacity >= 4mm diameter),712.0
Emphysema,208.0
Other minor abnormalities,135.0
Non-calcified micronodule(s) (opacity < 4mm diameter),127.0
Benign Lung Nodule(s),109.0
"Reticular or reticulonodular opacities, honeycombing, fibrosis",106.0
Significant Cardiovascular abnormality,33.0
other potentially significant abnormality above diaphram,30.0
Non-calcified hilar/mediastinal adenopathy or mass (>= 10mm short axis),27.0
 other potentially significant abnormalities below diaphram,25.0
Pleural thickening or effusion,18.0
"6 or more nodules, not suspicious for cancer",8.0
"Atelectasis, segmental or greater",7.0
Consolidation,3.0
"Chest Wall Abnormality (bone destruction, metastisis)",1.0
Soft Tissue,494.0
Ground Glass,127.0
Mixed,65.0
Unable to Determine Count,22.0
Other Tissue Count,4.0
