,0
Number of Individuals,1184.0
Average Age,61.93069306930693
STD Age,5.006510612677405
Average Pkyrs,60.97029702970297
STD Pkyrs,25.262083423797236
Average Nodule Size,8.575510204081633
STD Nodule Size,4.0346110489728515
Male Count,63.0
Female Count,38.0
Count Xslice,432.0
Count Yslice,400.0
Count Zslice,352.0
Non-calcified Nodule or mass (opacity >= 4mm diameter),246.0
Other minor abnormalities,128.0
Emphysema,101.0
"Reticular or reticulonodular opacities, honeycombing, fibrosis",86.0
Benign Lung Nodule(s),70.0
Non-calcified micronodule(s) (opacity < 4mm diameter),35.0
Significant Cardiovascular abnormality,31.0
Pleural thickening or effusion,25.0
other potentially significant abnormality above diaphram,20.0
Non-calcified hilar/mediastinal adenopathy or mass (>= 10mm short axis),15.0
 other potentially significant abnormalities below diaphram,14.0
"6 or more nodules, not suspicious for cancer",3.0
"Atelectasis, segmental or greater",3.0
"Chest Wall Abnormality (bone destruction, metastisis)",2.0
Soft Tissue,184.0
Ground Glass,39.0
Mixed,9.0
Unable to Determine Count,8.0
Other Tissue Count,5.0
Fat Count,1.0
