,0
Number of Individuals,318.0
Average Age,62.86138613861386
STD Age,5.188505956381465
Average Pkyrs,63.42772277227723
STD Pkyrs,22.6011310283883
Average Nodule Size,8.316498316498317
STD Nodule Size,3.6262226075477497
Male Count,55.0
Female Count,46.0
Count Xslice,110.0
Count Yslice,104.0
Count Zslice,104.0
Non-calcified Nodule or mass (opacity >= 4mm diameter),300.0
Emphysema,93.0
Non-calcified micronodule(s) (opacity < 4mm diameter),60.0
Other minor abnormalities,53.0
Benign Lung Nodule(s),52.0
"Reticular or reticulonodular opacities, honeycombing, fibrosis",48.0
other potentially significant abnormality above diaphram,17.0
Significant Cardiovascular abnormality,16.0
Non-calcified hilar/mediastinal adenopathy or mass (>= 10mm short axis),13.0
Pleural thickening or effusion,11.0
 other potentially significant abnormalities below diaphram,6.0
"6 or more nodules, not suspicious for cancer",3.0
"Atelectasis, segmental or greater",2.0
Consolidation,1.0
"Chest Wall Abnormality (bone destruction, metastisis)",1.0
Soft Tissue,190.0
Ground Glass,79.0
Mixed,25.0
Unable to Determine Count,5.0
Other Tissue Count,1.0
