,0
Number of Individuals,1164.0
Average Age,61.648936170212764
STD Age,5.075150184352323
Average Pkyrs,61.79255319148936
STD Pkyrs,24.224882743756535
Average Nodule Size,8.672489082969433
STD Nodule Size,4.316653126658322
Male Count,58.0
Female Count,36.0
Count Xslice,440.0
Count Yslice,368.0
Count Zslice,356.0
Non-calcified Nodule or mass (opacity >= 4mm diameter),229.0
Other minor abnormalities,110.0
Emphysema,98.0
"Reticular or reticulonodular opacities, honeycombing, fibrosis",84.0
Benign Lung Nodule(s),65.0
Non-calcified micronodule(s) (opacity < 4mm diameter),34.0
Significant Cardiovascular abnormality,28.0
Pleural thickening or effusion,16.0
other potentially significant abnormality above diaphram,12.0
Non-calcified hilar/mediastinal adenopathy or mass (>= 10mm short axis),12.0
 other potentially significant abnormalities below diaphram,7.0
"Atelectasis, segmental or greater",5.0
"6 or more nodules, not suspicious for cancer",4.0
"Chest Wall Abnormality (bone destruction, metastisis)",2.0
Consolidation,1.0
Soft Tissue,165.0
Ground Glass,40.0
Mixed,10.0
Unable to Determine Count,10.0
Other Tissue Count,3.0
Fat Count,1.0
